PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
AAZQ11;Títulos e Val. Mob.;6.79;0.21100000000000002;0.18789999999999998;0.79;163213000.0;643927.0;0;0.0;0.0;0.0;0.0
ABCP11;Shoppings;74.52;0.09570000000000001;0.0925;0.69;350921000.0;56830.0;1;4905.33;571.37;0.1165;0.1182
AEFI11;Outros;174.9;0.0904;0.0;1.56;411893000.0;0.0;7;0.0;398.61;0.0;0.0
AFCR11;Híbrido;103.15;0.1093;0.0;1.09;498867000.0;0.0;0;0.0;0.0;0.0;0.0
AFHI11;Títulos e Val. Mob.;87.92;0.1069;0.1276;0.96;400530000.0;1237150.0;0;0.0;0.0;0.0;0.0
AFOF11;Títulos e Val. Mob.;91.6;0.0086;0.0;12.23;1390540000.0;0.0;0;0.0;0.0;0.0;0.0
AGCX11;Outros;1235.5;0.0059;0.0;11.48;19291500000.0;0.0;72;101355.0;741.05;0.0073;0.053899999999999997
AGRX11;Híbrido;8.05;0.2303;0.17370000000000002;0.79;144120000.0;266442.0;0;0.0;0.0;0.0;0.0
AIEC11;Lajes Corporativas;46.75;0.2022;0.1769;0.63;225568000.0;679492.0;2;9452.29;1913.15;0.2024;0.0
AJFI11;Títulos e Val. Mob.;6.78;0.1137;0.12279999999999999;0.56;214424000.0;630438.0;6;968.04;105.41;0.10890000000000001;0.0672
ALMI11;Lajes Corporativas;614.2;0.053099999999999994;0.0408;0.29;68284900.0;37664.0;1;1489.28;215.94;0.145;0.5539999999999999
ALZC11;Títulos e Val. Mob.;91.0;0.0825;0.1294;0.94;61918800.0;167462.0;0;0.0;0.0;0.0;0.0
ALZM11;Títulos e Val. Mob.;6.4;0.12269999999999999;0.1595;0.85;97155500.0;69999.0;0;0.0;0.0;0.0;0.0
ALZR11;Híbrido;99.48;0.07519999999999999;0.0911;0.96;1216300000.0;1793150.0;16;4730.95;362.8;0.0767;0.0
ALZT11;Títulos e Val. Mob.;33.0;0.2072;0.012;0.81;16500000.0;121.0;0;0.0;0.0;0.0;0.0
ANCR11;Shoppings;75.0;0.1177;0.0793;0.77;2005130000.0;349.0;7;9135.13;1347.77;0.1475;0.044199999999999996
APTO11;Híbrido;8.64;0.1261;0.135;0.89;39849600.0;18693.0;4;15058.7;1091.99;0.0725;0.0
APXM11;Híbrido;102.0;0.0426;0.061500000000000006;0.97;288572000.0;79298.0;1;1884.29;154.9;0.08220000000000001;0.1058
ARCT11;Híbrido;87.13;-0.615;0.0;0.87;368999000.0;0.0;11;1492.32;130.14;0.0872;0.0
AROA11;Outros;0.99;0.0729;0.0739;1.0;166248000.0;4283.0;6;1267.51;103.55;0.0817;0.0
ARRI11;Títulos e Val. Mob.;7.61;0.0757;0.1008;0.89;149513000.0;580618.0;0;0.0;0.0;0.0;0.0
ARXD11;Títulos e Val. Mob.;7.02;0.11960000000000001;0.1729;0.74;63258400.0;102878.0;0;0.0;0.0;0.0;0.0
ASMT11;Híbrido;27.85;0.121;0.0;0.3;30113000.0;4304.0;3;2494.5;751.37;0.3012;0.0
ASRF11;Híbrido;10888.0;-0.07440000000000001;0.0;1.0;32032500.0;532.0;2;4221.85;0.0;0.0;0.0
ATSA11;Shoppings;52.2;0.034;0.0424;0.69;91409600.0;6380.0;1;2691.52;108.93;0.0405;0.17420000000000002
AURB11;Logística;71.76;-0.0073;0.0;0.96;64477400.0;9.0;2;1945.43;115.8;0.059500000000000004;0.2894
AZPL11;Logística;6.34;-0.0004;0.0;0.64;115449000.0;575447.0;0;0.0;0.0;0.0;0.0
BARI11;Títulos e Val. Mob.;63.48;0.1434;0.1525;0.71;294178000.0;554604.0;3;2825.94;0.0;0.0;0.0
BBFI11;Lajes Corporativas;361.4;2.0012;0.6369;0.5;46982000.0;52616.0;1;1099.59;2484.95;2.2599;1.0
BBFO11;Títulos e Val. Mob.;56.55;0.2082;0.1363;0.79;226421000.0;369683.0;0;0.0;0.0;0.0;0.0
